time	V(N002,VDD)*Id(M1)+V(N002,VDD)*Ig(M1)	V(N003,VDD)*Id(M2)+V(N002,VDD)*Ig(M2)	V(N003,VDD)*Id(M3)+V(N001,VDD)*Ig(M3)	V(N001,VDD)*Id(M5)+V(N003,VDD)*Ig(M5)	V(Vout,VDD)*Id(M7)+V(N001,VDD)*Ig(M7)	V(Vout)*Id(M8)+V(N001)*Ig(M8)	V(N001)*Id(M6)+V(N003)*Ig(M6)	V(N003)*Id(M4)+V(Vout)*Ig(M4)	V(N003)*I(C1)	V(Vout)*I(C2)
1.641217968032723e-06	1.041353e-07	7.006900e-08	-2.630852e-09	-7.547959e-09	5.944014e-09	3.098000e-08	9.220007e-10	3.955841e-09	7.970540e-09	-1.000145e-08
1.647779964438791e-06	1.028612e-07	4.206443e-08	-3.015041e-09	-7.184904e-09	4.237903e-10	2.884088e-10	2.593503e-08	3.664912e-09	1.766479e-08	-2.741299e-10
1.655154782426490e-06	1.054523e-07	1.601813e-08	3.796480e-09	-4.508147e-10	1.256526e-08	-1.316182e-08	6.269913e-08	2.874848e-09	1.543885e-08	2.636921e-11
1.664920407426490e-06	1.086783e-07	2.108309e-09	1.253748e-08	5.205598e-09	6.235365e-08	-1.051235e-09	2.373777e-08	-8.034564e-10	4.799346e-09	2.704675e-09
1.674041128076272e-06	1.123721e-07	-2.519130e-10	-4.309412e-09	-2.617760e-09	3.881227e-08	3.424421e-09	-6.552524e-09	6.195016e-08	-1.109895e-08	2.047301e-08
1.682629898883934e-06	1.165273e-07	1.974523e-08	4.257192e-09	1.986461e-09	6.706386e-09	2.422080e-09	-1.128705e-08	1.258883e-07	-1.986818e-08	1.486020e-08
1.691995372688049e-06	1.144723e-07	8.167059e-08	6.150001e-08	1.709697e-08	-2.035289e-10	1.176854e-09	-2.122156e-09	6.191761e-08	-4.430018e-09	4.737238e-09
1.693216075813049e-06	1.141824e-07	8.811922e-08	6.416367e-08	2.265718e-08	-1.900251e-09	3.800341e-10	-1.722315e-09	5.037318e-08	-3.372509e-09	4.370062e-09
1.695657482063049e-06	1.138503e-07	9.656427e-08	4.893846e-08	3.993726e-08	-6.531884e-09	-1.779599e-09	-9.217583e-10	3.259875e-08	-2.129398e-09	3.142014e-09
1.700540294563049e-06	1.109619e-07	1.062709e-07	4.990423e-09	5.872722e-08	-1.374892e-08	-1.652928e-09	1.990806e-09	1.081344e-08	-1.237937e-10	6.612107e-09
1.701760997688049e-06	1.105018e-07	1.073234e-07	-9.906246e-10	5.704998e-08	-1.349388e-08	-2.571597e-10	2.786236e-09	9.180067e-09	-4.321476e-11	7.384795e-09
1.704202403938049e-06	1.102654e-07	1.078561e-07	-7.273194e-10	4.591814e-08	-1.073898e-08	9.301338e-09	4.155759e-09	6.625821e-09	-3.269892e-11	4.588927e-09
1.709085216438049e-06	1.088756e-07	1.025594e-07	1.143290e-09	1.998067e-08	-4.813027e-09	5.522897e-08	3.581581e-09	-5.320366e-09	2.804905e-10	-1.962963e-08
1.717621060471379e-06	1.046058e-07	7.449395e-08	-2.422615e-09	-6.261574e-09	5.232864e-09	4.863808e-08	4.276752e-10	-1.067186e-09	6.398209e-09	-1.910380e-08
1.724808317229559e-06	1.030926e-07	4.354389e-08	-2.869489e-09	-7.025338e-09	2.231783e-09	4.434180e-09	2.356145e-08	3.755965e-09	1.660472e-08	-1.714980e-09
1.732544183336342e-06	1.054831e-07	1.616351e-08	4.377469e-09	-1.111444e-10	1.297902e-08	-1.217476e-08	5.889267e-08	2.614269e-09	1.533966e-08	6.586274e-11
1.742309808336342e-06	1.086812e-07	2.181616e-09	1.232715e-08	5.108582e-09	5.582981e-08	-1.272702e-09	2.338259e-08	2.380905e-09	4.787071e-09	5.003640e-09
1.752075433336342e-06	1.146554e-07	1.410193e-09	-3.945438e-09	-2.054026e-09	2.931084e-08	3.783855e-09	-1.027992e-08	9.051002e-08	-1.908692e-08	2.123324e-08
1.761841058336342e-06	1.179255e-07	4.492767e-08	1.343043e-09	2.650458e-08	-3.146224e-09	1.645622e-10	-1.030447e-08	9.143230e-08	-1.475377e-08	9.847403e-09
